game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
96,Easy_vs_Hard,O1_length_pressure_black,Hard,Easy,black,Hard,win,7,1291.7603,19.0437,322.9401,6.3479,749,161,187.25,53.67,False
97,Easy_vs_Hard,O2_length_pressure_white,Hard,Easy,white,Easy,loss,13,3300.2855,68.6003,550.0476,9.8,1169,461,194.83,65.86,False
98,Easy_vs_Hard,O3_length_pressure_mirror_black,Hard,Easy,black,Hard,win,7,1288.309,19.0032,322.0772,6.3344,749,161,187.25,53.67,False
99,Easy_vs_Hard,O4_length_pressure_mirror_white,Hard,Easy,white,Easy,loss,13,3280.3268,68.8955,546.7211,9.8422,1169,461,194.83,65.86,False
100,Easy_vs_Hard,O5_center_space_black,Hard,Easy,black,Hard,win,31,28239.5322,329.051,1764.9708,21.9367,5536,1403,346.0,93.53,False
101,Medium_vs_Hard,O1_length_pressure_black,Medium,Hard,black,Medium,win,13,22201.1241,2999.8702,3171.5892,499.9784,32901,1224,4700.14,204.0,False
102,Medium_vs_Hard,O2_length_pressure_white,Medium,Hard,white,Hard,loss,7,4217.2053,1278.123,1405.7351,319.5308,6838,749,2279.33,187.25,False
103,Medium_vs_Hard,O3_length_pressure_mirror_black,Medium,Hard,black,Medium,win,13,22352.5298,2991.0778,3193.2185,498.513,32901,1224,4700.14,204.0,False
104,Medium_vs_Hard,O4_length_pressure_mirror_white,Medium,Hard,white,Hard,loss,7,4261.9183,1304.2316,1420.6394,326.0579,6838,749,2279.33,187.25,False
105,Medium_vs_Hard,O5_center_space_black,Medium,Hard,black,Medium,win,19,82649.8321,11612.7179,8264.9832,1290.302,96943,2757,9694.3,306.33,False
106,Medium_vs_Hard,O6_center_space_white,Medium,Hard,draw,,draw,50,481059.5357,74230.6284,19242.3814,2969.2251,244221,10625,9768.84,425.0,True
107,Medium_vs_Hard,O7_complex_midgame_black,Medium,Hard,black,Medium,win,3,2179.5145,310.2274,1089.7573,310.2274,3446,160,1723.0,160.0,False
108,Medium_vs_Hard,O8_complex_midgame_white,Medium,Hard,white,Hard,loss,3,949.5515,673.0176,949.5515,336.5088,219,271,219.0,135.5,False
109,Medium_vs_Hard,O9_complex_midgame_mirror_black,Medium,Hard,black,Medium,win,3,2100.711,315.3182,1050.3555,315.3182,3446,160,1723.0,160.0,False
110,Medium_vs_Hard,O10_complex_midgame_mirror_white,Medium,Hard,white,Hard,loss,3,946.815,670.3345,946.815,335.1672,219,271,219.0,135.5,False
111,Medium_vs_Hard,O1_length_pressure_black,Medium,Hard,black,Medium,win,13,22769.3316,3047.1818,3252.7617,507.8636,32901,1224,4700.14,204.0,False
112,Medium_vs_Hard,O2_length_pressure_white,Medium,Hard,white,Hard,loss,7,4317.9337,1349.3534,1439.3112,337.3384,6838,749,2279.33,187.25,False
113,Medium_vs_Hard,O3_length_pressure_mirror_black,Medium,Hard,black,Medium,win,13,22912.3572,3143.1241,3273.1939,523.854,32901,1224,4700.14,204.0,False
114,Medium_vs_Hard,O4_length_pressure_mirror_white,Medium,Hard,white,Hard,loss,7,4262.3869,1301.3138,1420.7956,325.3284,6838,749,2279.33,187.25,False
115,Medium_vs_Hard,O5_center_space_black,Medium,Hard,black,Medium,win,19,83037.0422,11117.6682,8303.7042,1235.2965,96943,2757,9694.3,306.33,False
116,Medium_vs_Hard,O6_center_space_white,Medium,Hard,draw,,draw,50,479702.1178,73993.0613,19188.0847,2959.7225,244221,10625,9768.84,425.0,True
117,Medium_vs_Hard,O7_complex_midgame_black,Medium,Hard,black,Medium,win,3,2115.7788,313.0513,1057.8894,313.0513,3446,160,1723.0,160.0,False
118,Medium_vs_Hard,O8_complex_midgame_white,Medium,Hard,white,Hard,loss,3,959.0857,709.9752,959.0857,354.9876,219,271,219.0,135.5,False
119,Medium_vs_Hard,O9_complex_midgame_mirror_black,Medium,Hard,black,Medium,win,3,2202.9569,322.2794,1101.4784,322.2794,3446,160,1723.0,160.0,False
120,Medium_vs_Hard,O10_complex_midgame_mirror_white,Medium,Hard,white,Hard,loss,3,1015.4964,748.6542,1015.4964,374.3271,219,271,219.0,135.5,False
121,Medium_vs_Hard,O1_length_pressure_black,Medium,Hard,black,Medium,win,13,23198.1149,3246.5696,3314.0164,541.0949,32901,1224,4700.14,204.0,False
122,Medium_vs_Hard,O2_length_pressure_white,Medium,Hard,white,Hard,loss,7,4253.6951,1300.3725,1417.8984,325.0931,6838,749,2279.33,187.25,False
123,Medium_vs_Hard,O3_length_pressure_mirror_black,Medium,Hard,black,Medium,win,13,22618.3347,3054.107,3231.1907,509.0178,32901,1224,4700.14,204.0,False
124,Medium_vs_Hard,O4_length_pressure_mirror_white,Medium,Hard,white,Hard,loss,7,4258.3862,1328.5764,1419.4621,332.1441,6838,749,2279.33,187.25,False
125,Medium_vs_Hard,O5_center_space_black,Medium,Hard,black,Medium,win,19,79885.2863,10572.006,7988.5286,1174.6673,96943,2757,9694.3,306.33,False
126,Medium_vs_Hard,O1_length_pressure_black,Hard,Medium,black,Hard,win,7,1327.6423,4326.6738,331.9106,1442.2246,749,6838,187.25,2279.33,False
127,Medium_vs_Hard,O2_length_pressure_white,Hard,Medium,white,Medium,loss,13,3062.9052,22212.7304,510.4842,3173.2472,1224,32901,204.0,4700.14,False
128,Medium_vs_Hard,O3_length_pressure_mirror_black,Hard,Medium,black,Hard,win,7,1281.3753,4260.666,320.3438,1420.222,749,6838,187.25,2279.33,False
129,Medium_vs_Hard,O4_length_pressure_mirror_white,Hard,Medium,white,Medium,loss,13,3055.0625,22490.0163,509.1771,3212.8595,1224,32901,204.0,4700.14,False
130,Medium_vs_Hard,O5_center_space_black,Hard,Medium,draw,,draw,50,73839.9975,476791.1928,2953.5999,19071.6477,10625,244221,425.0,9768.84,True
131,Medium_vs_Hard,O6_center_space_white,Hard,Medium,white,Medium,loss,19,10623.5369,79634.7795,1180.393,7963.4779,2757,96943,306.33,9694.3,False
132,Medium_vs_Hard,O7_complex_midgame_black,Hard,Medium,black,Hard,win,3,666.0279,987.2183,333.0139,987.2183,271,219,135.5,219.0,False
133,Medium_vs_Hard,O8_complex_midgame_white,Hard,Medium,white,Medium,loss,3,311.1156,2156.2839,311.1156,1078.142,160,3446,160.0,1723.0,False
134,Medium_vs_Hard,O9_complex_midgame_mirror_black,Hard,Medium,black,Hard,win,3,696.804,947.9801,348.402,947.9801,271,219,135.5,219.0,False
135,Medium_vs_Hard,O10_complex_midgame_mirror_white,Hard,Medium,white,Medium,loss,3,312.6635,2092.2862,312.6635,1046.1431,160,3446,160.0,1723.0,False
136,Medium_vs_Hard,O1_length_pressure_black,Hard,Medium,black,Hard,win,7,1302.6465,4284.8078,325.6616,1428.2693,749,6838,187.25,2279.33,False
137,Medium_vs_Hard,O2_length_pressure_white,Hard,Medium,white,Medium,loss,13,3022.6656,22318.4622,503.7776,3188.3517,1224,32901,204.0,4700.14,False
138,Medium_vs_Hard,O3_length_pressure_mirror_black,Hard,Medium,black,Hard,win,7,1298.3849,5064.6144,324.5962,1688.2048,749,6838,187.25,2279.33,False
139,Medium_vs_Hard,O4_length_pressure_mirror_white,Hard,Medium,white,Medium,loss,13,3013.9014,22425.7998,502.3169,3203.6857,1224,32901,204.0,4700.14,False
140,Medium_vs_Hard,O5_center_space_black,Hard,Medium,draw,,draw,50,72681.7797,469432.0595,2907.2712,18777.2824,10625,244221,425.0,9768.84,True
141,Medium_vs_Hard,O6_center_space_white,Hard,Medium,white,Medium,loss,19,10424.3293,79214.6559,1158.2588,7921.4656,2757,96943,306.33,9694.3,False
142,Medium_vs_Hard,O7_complex_midgame_black,Hard,Medium,black,Hard,win,3,668.0247,941.4462,334.0123,941.4462,271,219,135.5,219.0,False
143,Medium_vs_Hard,O8_complex_midgame_white,Hard,Medium,white,Medium,loss,3,310.6071,2066.0811,310.6071,1033.0405,160,3446,160.0,1723.0,False
144,Medium_vs_Hard,O9_complex_midgame_mirror_black,Hard,Medium,black,Hard,win,3,667.5993,941.799,333.7996,941.799,271,219,135.5,219.0,False
145,Medium_vs_Hard,O10_complex_midgame_mirror_white,Hard,Medium,white,Medium,loss,3,309.4577,2067.8492,309.4577,1033.9246,160,3446,160.0,1723.0,False
146,Medium_vs_Hard,O1_length_pressure_black,Hard,Medium,black,Hard,win,7,1276.0525,4202.4882,319.0131,1400.8294,749,6838,187.25,2279.33,False
147,Medium_vs_Hard,O2_length_pressure_white,Hard,Medium,white,Medium,loss,13,2979.7085,21879.6605,496.6181,3125.6658,1224,32901,204.0,4700.14,False
148,Medium_vs_Hard,O3_length_pressure_mirror_black,Hard,Medium,black,Hard,win,7,1279.437,4193.5088,319.8593,1397.8363,749,6838,187.25,2279.33,False
149,Medium_vs_Hard,O4_length_pressure_mirror_white,Hard,Medium,white,Medium,loss,13,2975.765,21910.2373,495.9608,3130.0339,1224,32901,204.0,4700.14,False
150,Medium_vs_Hard,O5_center_space_black,Hard,Medium,draw,,draw,50,71680.7708,462730.7248,2867.2308,18509.229,10625,244221,425.0,9768.84,True
