game_id,pair_id,opening_name,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
126,Medium_vs_Hard,O1_central_cross_black,Hard,Medium,draw,,draw,50,298515.8243,131191.1983,11940.633,5247.6479,207379,12697,8295.16,507.88,True
127,Medium_vs_Hard,O2_central_cross_variant_white,Hard,Medium,black,Hard,win,14,17020.2773,12524.382,2431.4682,1789.1974,26146,2551,3735.14,364.43,False
128,Medium_vs_Hard,O3_wide_center_variant_black,Hard,Medium,black,Hard,win,3,2247.1702,1296.6777,1123.5851,1296.6777,5035,342,2517.5,342.0,False
129,Medium_vs_Hard,O4_wide_center_white,Hard,Medium,black,Hard,win,10,11179.4583,6410.2905,2235.8917,1282.0581,19568,1959,3913.6,391.8,False
130,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Medium,white,Medium,loss,40,161643.6739,69942.3399,8082.1837,3497.117,148651,8765,7432.55,438.25,False
131,Medium_vs_Hard,O6_diagonal_balance_variant_white,Hard,Medium,white,Medium,loss,3,836.5889,2153.8235,836.5889,1076.9117,254,515,254.0,257.5,False
132,Medium_vs_Hard,O7_offset_tension_mirror_black,Hard,Medium,black,Hard,win,11,15159.0941,6974.3647,2526.5157,1394.8729,31657,1897,5276.17,379.4,False
133,Medium_vs_Hard,O8_diagonal_balance_mirror_white,Hard,Medium,black,Hard,win,36,164042.159,63355.3073,9113.4533,3519.7393,131727,8675,7318.17,481.94,False
134,Medium_vs_Hard,O9_central_cross_variant_black,Hard,Medium,black,Hard,win,15,21740.4739,11664.8042,2717.5592,1666.4006,34857,2651,4357.12,378.71,False
135,Medium_vs_Hard,O10_diagonal_balance_white,Hard,Medium,black,Hard,win,36,164715.227,63606.1964,9150.8459,3533.6776,131727,8675,7318.17,481.94,False
136,Medium_vs_Hard,O1_central_cross_black,Hard,Medium,draw,,draw,50,294552.5009,129202.8852,11782.1,5168.1154,207379,12697,8295.16,507.88,True
137,Medium_vs_Hard,O2_central_cross_variant_white,Hard,Medium,black,Hard,win,14,16673.7401,11666.3285,2381.9629,1666.6184,26146,2551,3735.14,364.43,False
138,Medium_vs_Hard,O3_wide_center_variant_black,Hard,Medium,black,Hard,win,3,2122.8045,1250.5845,1061.4022,1250.5845,5035,342,2517.5,342.0,False
139,Medium_vs_Hard,O4_wide_center_white,Hard,Medium,black,Hard,win,10,10518.878,6153.7163,2103.7756,1230.7433,19568,1959,3913.6,391.8,False
140,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Medium,white,Medium,loss,40,160872.9444,70127.7907,8043.6472,3506.3895,148651,8765,7432.55,438.25,False
141,Medium_vs_Hard,O6_diagonal_balance_variant_white,Hard,Medium,white,Medium,loss,3,810.1917,2129.276,810.1917,1064.638,254,515,254.0,257.5,False
142,Medium_vs_Hard,O7_offset_tension_mirror_black,Hard,Medium,black,Hard,win,11,15664.3282,7249.3595,2610.7214,1449.8719,31657,1897,5276.17,379.4,False
143,Medium_vs_Hard,O8_diagonal_balance_mirror_white,Hard,Medium,black,Hard,win,36,164298.3445,63780.6409,9127.6858,3543.3689,131727,8675,7318.17,481.94,False
144,Medium_vs_Hard,O9_central_cross_variant_black,Hard,Medium,black,Hard,win,15,22083.5569,11819.1265,2760.4446,1688.4466,34857,2651,4357.12,378.71,False
145,Medium_vs_Hard,O10_diagonal_balance_white,Hard,Medium,black,Hard,win,36,164102.3353,62768.8323,9116.7964,3487.1574,131727,8675,7318.17,481.94,False
146,Medium_vs_Hard,O1_central_cross_black,Hard,Medium,draw,,draw,50,287942.517,127422.924,11517.7007,5096.917,207379,12697,8295.16,507.88,True
147,Medium_vs_Hard,O2_central_cross_variant_white,Hard,Medium,black,Hard,win,14,16236.3444,11477.9824,2319.4778,1639.7118,26146,2551,3735.14,364.43,False
148,Medium_vs_Hard,O3_wide_center_variant_black,Hard,Medium,black,Hard,win,3,2148.9245,1261.8778,1074.4623,1261.8778,5035,342,2517.5,342.0,False
149,Medium_vs_Hard,O4_wide_center_white,Hard,Medium,black,Hard,win,10,10297.2751,6209.5756,2059.455,1241.9151,19568,1959,3913.6,391.8,False
150,Medium_vs_Hard,O5_offset_tension_mirror_variant_black,Hard,Medium,white,Medium,loss,40,158267.4405,68515.8736,7913.372,3425.7937,148651,8765,7432.55,438.25,False
