game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,max_moves_reached
103,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38679.1221,9200.8843,2762.7944,657.206,45317,3004,3236.93,214.57,False
104,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38633.618,9191.913,2759.5441,656.5652,45317,3004,3236.93,214.57,False
105,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38651.2792,9290.8304,2760.8057,663.6307,45317,3004,3236.93,214.57,False
106,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38780.4644,9245.0873,2770.0332,660.3634,45317,3004,3236.93,214.57,False
107,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38570.3344,9201.589,2755.0239,657.2564,45317,3004,3236.93,214.57,False
108,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38476.8844,9215.4188,2748.3489,658.2442,45317,3004,3236.93,214.57,False
109,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38330.2061,9261.0904,2737.8719,661.5065,45317,3004,3236.93,214.57,False
110,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38515.97,9261.6066,2751.1407,661.5433,45317,3004,3236.93,214.57,False
111,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38328.7877,9167.8191,2737.7706,654.8442,45317,3004,3236.93,214.57,False
112,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38272.7335,9258.2681,2733.7667,661.3049,45317,3004,3236.93,214.57,False
113,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38795.0891,9302.5343,2771.0778,664.4667,45317,3004,3236.93,214.57,False
114,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38850.6963,9283.2243,2775.0497,663.0874,45317,3004,3236.93,214.57,False
115,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38585.7789,9211.4256,2756.1271,657.959,45317,3004,3236.93,214.57,False
116,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38539.7149,9216.0714,2752.8368,658.2908,45317,3004,3236.93,214.57,False
117,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38488.4879,9227.0483,2749.1777,659.0749,45317,3004,3236.93,214.57,False
118,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38519.4272,9295.5843,2751.3877,663.9703,45317,3004,3236.93,214.57,False
119,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38352.2965,9169.8717,2739.4497,654.9908,45317,3004,3236.93,214.57,False
120,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38250.0204,9188.8962,2732.1443,656.3497,45317,3004,3236.93,214.57,False
121,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38455.4257,9250.6437,2746.8161,660.7603,45317,3004,3236.93,214.57,False
122,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38599.9327,9269.3109,2757.1381,662.0936,45317,3004,3236.93,214.57,False
123,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38394.908,9169.7589,2742.4934,654.9828,45317,3004,3236.93,214.57,False
124,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38345.093,9202.9373,2738.9352,657.3527,45317,3004,3236.93,214.57,False
125,Medium_vs_Hard,Medium,Hard,white,Hard,loss,28,38520.5316,9500.8709,2751.4665,678.6336,45317,3004,3236.93,214.57,False
126,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25451.1255,132259.196,1272.5563,6961.0103,5650,124802,282.5,6568.53,False
127,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25222.8332,131605.3038,1261.1417,6926.5949,5650,124802,282.5,6568.53,False
128,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25352.3895,131407.1925,1267.6195,6916.168,5650,124802,282.5,6568.53,False
129,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25506.0612,131772.9345,1275.3031,6935.4176,5650,124802,282.5,6568.53,False
130,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25454.4349,131991.9967,1272.7217,6946.9472,5650,124802,282.5,6568.53,False
131,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25251.725,131309.1649,1262.5863,6911.0087,5650,124802,282.5,6568.53,False
132,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25307.5129,131034.8839,1265.3756,6896.5728,5650,124802,282.5,6568.53,False
133,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25417.823,131657.4375,1270.8912,6929.3388,5650,124802,282.5,6568.53,False
134,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25503.7592,132186.4482,1275.188,6957.1815,5650,124802,282.5,6568.53,False
135,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25268.0608,131641.725,1263.403,6928.5118,5650,124802,282.5,6568.53,False
136,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25305.2138,131326.4753,1265.2607,6911.9198,5650,124802,282.5,6568.53,False
137,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25368.8131,131854.0895,1268.4407,6939.6889,5650,124802,282.5,6568.53,False
138,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25199.627,131024.4067,1259.9814,6896.0214,5650,124802,282.5,6568.53,False
139,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25431.7661,131704.3412,1271.5883,6931.8074,5650,124802,282.5,6568.53,False
140,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25284.3497,130855.4293,1264.2175,6887.1279,5650,124802,282.5,6568.53,False
141,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25634.7386,131876.3893,1281.7369,6940.8626,5650,124802,282.5,6568.53,False
142,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25604.4501,132247.8336,1280.2225,6960.4123,5650,124802,282.5,6568.53,False
143,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25575.2956,131963.5102,1278.7648,6945.4479,5650,124802,282.5,6568.53,False
144,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25791.285,132879.2783,1289.5643,6993.6462,5650,124802,282.5,6568.53,False
145,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25969.1365,132140.9555,1298.4568,6954.7871,5650,124802,282.5,6568.53,False
146,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25698.3998,132523.9994,1284.92,6974.9473,5650,124802,282.5,6568.53,False
147,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25650.6527,132446.0745,1282.5326,6970.846,5650,124802,282.5,6568.53,False
148,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25949.0793,133614.7679,1297.454,7032.3562,5650,124802,282.5,6568.53,False
149,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,25672.8984,133264.4408,1283.6449,7013.9179,5650,124802,282.5,6568.53,False
150,Medium_vs_Hard,Hard,Medium,black,Hard,win,39,24704.6262,130478.2659,1235.2313,6867.2772,5650,124802,282.5,6568.53,False
