game_id,pair_id,black_ai,white_ai,winner,winner_ai,result_for_black,moves_count,black_total_time_ms,white_total_time_ms,black_avg_time_ms,white_avg_time_ms,black_total_nodes,white_total_nodes,black_avg_nodes,white_avg_nodes,black_was_first,max_moves_reached
129,B2_vs_A3,A3,B2,draw,,draw,50,1551399.0012,337689.7478,62055.96,13507.5899,135115,7451,5404.6,298.04,True,True
130,B2_vs_A3,A3,B2,draw,,draw,50,1551399.0012,337689.7478,62055.96,13507.5899,135115,7451,5404.6,298.04,True,True
131,B2_vs_B3,B2,B3,draw,,draw,50,246311.6395,1171164.6097,9852.4656,46846.5844,6613,132948,264.52,5317.92,True,True
132,B2_vs_B3,B2,B3,draw,,draw,50,246311.6395,1171164.6097,9852.4656,46846.5844,6613,132948,264.52,5317.92,True,True
133,B2_vs_B3,B2,B3,draw,,draw,50,246311.6395,1171164.6097,9852.4656,46846.5844,6613,132948,264.52,5317.92,True,True
134,B2_vs_B3,B2,B3,draw,,draw,50,246311.6395,1171164.6097,9852.4656,46846.5844,6613,132948,264.52,5317.92,True,True
135,B2_vs_B3,B2,B3,draw,,draw,50,246311.6395,1171164.6097,9852.4656,46846.5844,6613,132948,264.52,5317.92,True,True
136,B2_vs_B3,B3,B2,black,B3,win,21,120723.4399,26580.5167,10974.8582,2658.0517,36976,1998,3361.45,199.8,True,False
137,B2_vs_B3,B3,B2,black,B3,win,21,120723.4399,26580.5167,10974.8582,2658.0517,36976,1998,3361.45,199.8,True,False
138,B2_vs_B3,B3,B2,black,B3,win,21,120723.4399,26580.5167,10974.8582,2658.0517,36976,1998,3361.45,199.8,True,False
139,B2_vs_B3,B3,B2,black,B3,win,21,120723.4399,26580.5167,10974.8582,2658.0517,36976,1998,3361.45,199.8,True,False
140,B2_vs_B3,B3,B2,black,B3,win,21,120723.4399,26580.5167,10974.8582,2658.0517,36976,1998,3361.45,199.8,True,False
141,A3_vs_B3,A3,B3,white,B3,loss,26,226885.4308,232748.0256,17452.7254,17903.6943,43108,57639,3316.0,4433.77,True,False
142,A3_vs_B3,A3,B3,white,B3,loss,26,226885.4308,232748.0256,17452.7254,17903.6943,43108,57639,3316.0,4433.77,True,False
143,A3_vs_B3,A3,B3,white,B3,loss,26,226885.4308,232748.0256,17452.7254,17903.6943,43108,57639,3316.0,4433.77,True,False
144,A3_vs_B3,A3,B3,white,B3,loss,26,226885.4308,232748.0256,17452.7254,17903.6943,43108,57639,3316.0,4433.77,True,False
145,A3_vs_B3,A3,B3,white,B3,loss,26,226885.4308,232748.0256,17452.7254,17903.6943,43108,57639,3316.0,4433.77,True,False
146,A3_vs_B3,B3,A3,black,B3,win,21,118258.2735,149454.895,10750.7521,14945.4895,36976,30113,3361.45,3011.3,True,False
147,A3_vs_B3,B3,A3,black,B3,win,21,118258.2735,149454.895,10750.7521,14945.4895,36976,30113,3361.45,3011.3,True,False
148,A3_vs_B3,B3,A3,black,B3,win,21,118258.2735,149454.895,10750.7521,14945.4895,36976,30113,3361.45,3011.3,True,False
149,A3_vs_B3,B3,A3,black,B3,win,21,118258.2735,149454.895,10750.7521,14945.4895,36976,30113,3361.45,3011.3,True,False
150,A3_vs_B3,B3,A3,black,B3,win,21,118258.2735,149454.895,10750.7521,14945.4895,36976,30113,3361.45,3011.3,True,False
